Model,Params,Epoch,TrainLoss,ValLoss,P,R,Acc,F1,FPR,FNR
EDRN-Uni,3243777,9,0.07464493366961296,0,0.9634375,0.9541937480656144,0.9595048899755502,0.9587933447364329,0.035315424086930274,0.04580625193438564
EDRN-Uni,3243777,10,0.06358216008028159,0,0.9472239170225747,0.9610027855153204,0.9543092909535452,0.9540636042402827,0.05221853305161485,0.03899721448467967
EDRN-Uni,3243777,11,0.047805856161106094,0,0.9748487742757084,0.9476942123181678,0.9621026894865525,0.9610797237915882,0.02384545728946574,0.05230578768183225
EDRN-Uni,3243777,12,0.037587438351832904,0,0.9302870533099004,0.982977406375735,0.9552261613691931,0.9559066967644846,0.07183821309990945,0.017022593624264934
EDRN-Uni,3243777,13,0.02955567159761603,0,0.9561051004636785,0.957288765088208,0.9572127139364304,0.9566965666563563,0.04286145487473589,0.04271123491179202
EDRN-Uni,3243777,14,0.03563727671280503,0,0.9895798319327731,0.9111730114515629,0.9514058679706602,0.9487592652271994,0.009357078176878962,0.08882698854843701
EDRN-Uni,3243777,15,0.02050081686152575,0,0.9758165829145728,0.9616217889198391,0.9692848410757946,0.9686671862821512,0.02324177482644129,0.03837821108016094
EDRN-Uni,3243777,16,0.010567047875016354,0,0.980210660708586,0.950479727638502,0.9660757946210269,0.9651162790697675,0.018714156353757925,0.04952027236149799
EDRN-Uni,3243777,17,0.007789764504055851,0,0.9750394944707741,0.9551222531723924,0.9657701711491442,0.9649781113195748,0.02384545728946574,0.044877746827607555
EDRN-Uni,3243777,18,0.006953071126750169,0,0.9365219958665486,0.9817393995666976,0.9581295843520783,0.9585977636748262,0.06489586477512828,0.018260600433302382
EDRN-Uni,3243777,19,0.006386492808815092,0,0.9735433070866142,0.9566697616836892,0.9657701711491442,0.9650327817670934,0.025354663447026863,0.04333023831631074
EDRN-Uni,3243777,20,0.00852811417560308,0,0.9662464416429443,0.7353760445682451,0.8566625916870416,0.8351493848857645,0.02505282221551464,0.2646239554317549
EDRN-Uni,3243777,21,0.08282651373435958,0,0.9464552796889022,0.9792633859486227,0.9624083129584352,0.9625798600547611,0.054029580440688195,0.02073661405137728
EDRN-Uni,3243777,22,0.011364653339394582,0,0.9626797185683695,0.9740018570102136,0.968520782396088,0.9683076923076923,0.036824630244491396,0.025998142989786442
EDRN-Uni,3243777,23,0.006478295316740584,0,0.9833546734955185,0.9507892293407614,0.9677567237163814,0.9667977970102282,0.01569574403863568,0.04921077065923862
EDRN-Uni,3243777,24,0.003755875695228147,0,0.9655913978494624,0.9727638502011761,0.969437652811736,0.9691643539932162,0.03380621792936915,0.027236149798823894
EDRN-Uni,3243777,25,0.003089855281779399,0,0.9759149202377229,0.9656453110492108,0.9712713936430318,0.9707529558182949,0.02324177482644129,0.034354688950789226
