Model,Params,Epoch,TrainLoss,ValLoss,P,R,Acc,F1,FPR,FNR
EDRN_MHA_U256_D16,5938177,34,5.438965119380485e-06,0,0.9757839180378765,0.9727638502011761,0.9746332518337408,0.9742715437073776,0.023543616057953517,0.027236149798823894
EDRN_MHA_U256_D16,5938177,35,4.228912202436802e-06,0,0.9760869565217392,0.9727638502011761,0.9747860635696821,0.9744225701441637,0.02324177482644129,0.027236149798823894
EDRN_MHA_U256_D16,5938177,36,3.900963924671976e-06,0,0.9757839180378765,0.9727638502011761,0.9746332518337408,0.9742715437073776,0.023543616057953517,0.027236149798823894
EDRN_MHA_U256_D16,5938177,37,3.876820051993071e-06,0,0.9757839180378765,0.9727638502011761,0.9746332518337408,0.9742715437073776,0.023543616057953517,0.027236149798823894
EDRN_MHA_U256_D16,5938177,38,3.419035154960371e-06,0,0.9754810676598387,0.9727638502011761,0.9744804400977995,0.974120564078723,0.02384545728946574,0.027236149798823894
EDRN_MHA_U256_D16,5938177,39,3.305229975799543e-06,0,0.9757839180378765,0.9727638502011761,0.9746332518337408,0.9742715437073776,0.023543616057953517,0.027236149798823894
EDRN_MHA_U256_D16,5938177,40,3.078441986522543e-06,0,0.9752014879107254,0.9736923553079542,0.9747860635696821,0.9744463373083475,0.024147298520977967,0.026307644692045808
EDRN_MHA_U256_D16,5938177,41,2.9699102768177e-06,0,0.9755038759689922,0.9736923553079542,0.9749388753056235,0.9745972738537795,0.02384545728946574,0.026307644692045808
EDRN_MHA_U256_D16,5938177,42,3.046607017810087e-06,0,0.9758064516129032,0.9736923553079542,0.9750916870415648,0.9747482571649884,0.023543616057953517,0.026307644692045808
EDRN_MHA_U256_D16,5938177,43,2.9151911036251477e-06,0,0.9758064516129032,0.9736923553079542,0.9750916870415648,0.9747482571649884,0.023543616057953517,0.026307644692045808
EDRN_MHA_U256_D16,5938177,44,2.8015045807286206e-06,0,0.9758064516129032,0.9736923553079542,0.9750916870415648,0.9747482571649884,0.023543616057953517,0.026307644692045808
EDRN_MHA_U256_D16,5938177,45,2.761521030309338e-06,0,0.9758064516129032,0.9736923553079542,0.9750916870415648,0.9747482571649884,0.023543616057953517,0.026307644692045808
